id,name,municipality,iata_code
430487,Ter Clinic Heliport,Ploemeur,
504536,Verdun Saint-Nicolas Hospital Heliport,Verdun,
504565,Vavincourt Aerodrome,"Vavincourt, Meuse",
506713,Chamonet Airfield,"Contrevoz, Ain",
506715,Malafretaz Ultralight Airfield,"Malafretaz, Ain",
506717,Gite de l'Aviateur Ultralight Airfield,"Saint-Jean-sur-Reyssouze, Ain",
506719,Base ULM de Chaneins,Chaneins,
506721,Talissieu Airfield,"Arvière-en-Valromey, Ain",
506735,Mionnay Ultralight Airfield,"Mionnay, Ain",
506737,Les Ailes de Sergy ULM,Sergy,
506739,Base ULM de Polliat,Polliat,
506741,Base ULM d'Izenave,Izenave,
507427,Aérodrome de Coutigny-Sérigné,Sérigné,
509577,L'Arpette Altisurface,"Les Belleville, Savoie",
509584,Aérodrome de Liorac sur Louyre,Liorac-sur-Louyre,
509586,Aérodrome d'Argentine,La Rochebeaucourt-et-Argentine,
509590,Aérodrome de Saint Crépin Carlucet,Saint-Crépin-et-Carlucet,
509739,Frévent ULM,"Frévent, Pas-de-Calais",
510327,Mondreville Ultralight Airfield,"Mondreville, Seine-et-Marne",
510473,Base ULM de Val-Revermont,Val-Revermont,
510555,Pleucadeuc private airfield,Pleucadeuc,
513797,Île Chambière Heliport,Metz,
